State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,Address,latitude,longitude,APC_outlier_score,LP_outlier_score,PDP_outlier_score,NNPP_outlier_score
ABIA,ABA NORTH,EZIAMA,01-01-01-001,RAILWAY QUARTERS - RAILWAY QUARTERS I,85,968,TRUE,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,7,56,25,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/001/001-1677420870.pdf,"RAILWAY QUARTERS - RAILWAY QUARTERS I, EZIAMA, ABA NORTH, ABIA",5.11639,7.36854,6.692982456,14.50877193,24.0877193,0.912280702
ABIA,ABA NORTH,EZIAMA,01-01-01-002,RAILWAY QUARTERS - RAILWAY QUARTERS II,90,750,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3103/ward/17526/pu/8/8-1677512048.pdf,"RAILWAY QUARTERS - RAILWAY QUARTERS II, EZIAMA, ABA NORTH, ABIA",5.11639,7.36854,0.368421053,41.98245614,1.131578947,0.096491228
ABIA,ABA NORTH,EZIAMA,01-01-01-003,RAILWAY QUARTERS - RAILWAY QUARTERS III,105,750,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3103/ward/17526/pu/9/9-1677512335.pdf,"RAILWAY QUARTERS - RAILWAY QUARTERS III, EZIAMA, ABA NORTH, ABIA",5.11639,7.36854,0.368421053,41.98245614,1.131578947,0.096491228
ABIA,ABA NORTH,EZIAMA,01-01-01-005,ABIA POLY - ABIA POLY I,138,750,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/005/005-1677396730.pdf,"ABIA POLY - ABIA POLY I, EZIAMA, ABA NORTH, ABIA",5.11639,7.36854,0.368421053,41.98245614,1.131578947,0.096491228
ABIA,ABA NORTH,INDUSTRIAL AREA,01-01-02-012,LEVER BROTHERS GATE- LEVER BROTHERS GATE IV,71,774,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,71,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/012/012-1677409420.pdf,"LEVER BROTHERS GATE- LEVER BROTHERS GATE IV, INDUSTRIAL AREA, ABA NORTH, ABIA",53.71556,91.42917,0.833333333,2.083333333,1,0.333333333
ABIA,ABA NORTH,OSUSU I,01-01-03-002,OSUSU RD.PRI.SCHOOL-SCHOOL PREMISES II,156,883,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,2,157,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54/result_160777_1677691483_thumb.jpg,"OSUSU RD.PRI.SCHOOL-SCHOOL PREMISES II, OSUSU I, ABA NORTH, ABIA",5.11639,7.36854,1.649122807,116.3947368,0.122807018,0.096491228
ABIA,ABA NORTH,OSUSU II,01-01-04-004,OSUSU SECONDARY SCHOOL  - SCHOOL PREMISES IV,297,1678,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,2,287,7,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77/result_160824_1677489715_thumb.jpg,"OSUSU SECONDARY SCHOOL  - SCHOOL PREMISES IV, OSUSU II, ABA NORTH, ABIA",5.11639,7.36854,1.649122807,247.5350877,5.929824561,0.096491228
ABIA,ABA NORTH,OSUSU II,01-01-04-014,BRIGHT WAY NURS. SCHOOL - SCHOOL PREMISES VII,144,934,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,138,1,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/87/result_160834_1677492427_thumb.jpg,"BRIGHT WAY NURS. SCHOOL - SCHOOL PREMISES VII, OSUSU II, ABA NORTH, ABIA",53.71556,91.42917,0.833333333,74.66666667,0.083333333,1.833333333
ABIA,ABA NORTH,OSUSU II,01-01-04-016,POPE JOHN PAUL COLLEGE-SCHOOL PREMISES I,173,877,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,2,157,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/89/result_160836_1677494664_thumb.jpg,"POPE JOHN PAUL COLLEGE-SCHOOL PREMISES I, OSUSU II, ABA NORTH, ABIA",53.71556,91.42917,1.333333333,95.25,0.083333333,0.333333333
ABIA,ABA NORTH,OSUSU II,01-01-04-018,POPE JOHN PAUL COLLEGE-SCHOOL PREMISES III,165,874,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,2,157,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/91/result_160838_1677493492_thumb.jpg,"POPE JOHN PAUL COLLEGE-SCHOOL PREMISES III, OSUSU II, ABA NORTH, ABIA",53.71556,91.42917,1.333333333,95.25,0.083333333,0.333333333
ABIA,ABA NORTH,ST.EUGENES BY OKIGWE RD.,01-01-05-003,HOLY GHOST COMM. SCHOOL  - SCHOOL PREMISES III,119,877,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,105,3,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/003/003-1677405554.pdf,"HOLY GHOST COMM. SCHOOL  - SCHOOL PREMISES III, ST.EUGENES BY OKIGWE RD., ABA NORTH, ABIA",6.169705742,7.269861972,2.413533835,36.69172932,10.03007519,0.390977444
ABIA,ABA NORTH,ST.EUGENES BY OKIGWE RD.,01-01-05-017,ST. EUGENE'S PRIM. SCH.  - SCHOOL PREMISES V,142,750,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,138,2,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/017/017-1677415453.pdf,"ST. EUGENE'S PRIM. SCH.  - SCHOOL PREMISES V, ST.EUGENES BY OKIGWE RD., ABA NORTH, ABIA",6.169705742,7.269861972,2.413533835,69.93984962,11.03759398,0.390977444
ABIA,ABA NORTH,ST.EUGENES BY OKIGWE RD.,01-01-05-019,EKWEREAZU TOWN HALL - TOWN HALL I,191,967,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,2,178,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/019/019-1677416522.pdf,"EKWEREAZU TOWN HALL - TOWN HALL I, ST.EUGENES BY OKIGWE RD., ABA NORTH, ABIA",6.169705742,7.269861972,0.398496241,110.2406015,13.05263158,0.390977444
ABIA,ABA NORTH,URATTA,01-01-06-008,URATTA COUNCIL HALL  - HALL PREMISES VIII,102,750,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,98,3,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118/result_160891_1677515718_thumb.jpg,"URATTA COUNCIL HALL  - HALL PREMISES VIII, URATTA, ABA NORTH, ABIA",5.11639,7.36854,0.640350877,56.87719298,1.894736842,0.096491228
ABIA,ABA NORTH,URATTA,01-01-06-010,URATTA COUNCIL HALL  - HALL PREMISES X,97,750,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,0,96,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/120/result_160893_1677517115_thumb.jpg,"URATTA COUNCIL HALL  - HALL PREMISES X, URATTA, ABA NORTH, ABIA",5.11639,7.36854,0.368421053,54.85964912,1.131578947,0.096491228
ABIA,ABA NORTH,URATTA,01-01-06-017,URATTA COUNCIL HALL  - HALL PREMISES XVII,74,803,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,68,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/127/result_160900_1677485162_thumb.jpg,"URATTA COUNCIL HALL  - HALL PREMISES XVII, URATTA, ABA NORTH, ABIA",5.11639,7.36854,0.368421053,26.61403509,0.122807018,0.096491228
ABIA,ABA NORTH,URATTA,01-01-06-021,STELLA MARIS SEC. SCHOOL  - SCHOOL PREMISES IV,68,653,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,3,57,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/131/result_160904_1677671962_thumb.jpg,"STELLA MARIS SEC. SCHOOL  - SCHOOL PREMISES IV, URATTA, ABA NORTH, ABIA",5.11639,7.36854,2.657894737,15.51754386,1.131578947,0.096491228
ABIA,ABA NORTH,OLD ABA GRA,01-01-07-010,GULF COURSE PRIMARY SCHOOL  - SCHOOL PREMISES X,85,472,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,1,83,1,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/07/pu/010/010-1677414956.pdf,"GULF COURSE PRIMARY SCHOOL  - SCHOOL PREMISES X, OLD ABA GRA, ABA NORTH, ABIA",6.169705742,7.269861972,1.406015038,14.52631579,12.04511278,0.390977444
ABIA,ABA NORTH,OLD ABA GRA,01-01-07-023,WATER TANK WATER TANK PREMISES VII,172,809,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,3,163,2,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/07/pu/023/023-1677420332.pdf,"WATER TANK WATER TANK PREMISES VII, OLD ABA GRA, ABA NORTH, ABIA",53.71556,91.42917,2.416666667,101.75,1.166666667,0.333333333
ABIA,ABA NORTH,UMUOLA,01-01-08-004,UMUOLA PRIM. SCHOOL-SCHOOL PREMISES IV,158,750,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,0,143,3,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/164/result_160964_1677503349_thumb.jpg,"UMUOLA PRIM. SCHOOL-SCHOOL PREMISES IV, UMUOLA, ABA NORTH, ABIA",5.11639,7.36854,0.368421053,102.2719298,1.894736842,0.096491228
ABIA,ABA NORTH,UMUOLA,01-01-08-012,UMUOLA OKPULOR HALL - COUNCIL HALL V,92,509,TRUE,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,1,88,2,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/172/result_160972_1677501233_thumb.jpg,"UMUOLA OKPULOR HALL - COUNCIL HALL V, UMUOLA, ABA NORTH, ABIA",5.11639,7.36854,0.640350877,46.78947368,0.885964912,0.096491228
ABIA,ABA NORTH,UMUOLA,01-01-08-023,UMUOLA EGBELU HALL - COUNCIL HALL III,139,750,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,3,132,1,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/183/result_160983_1677526900_thumb.jpg,"UMUOLA EGBELU HALL - COUNCIL HALL III, UMUOLA, ABA NORTH, ABIA",5.11639,7.36854,2.657894737,91.1754386,0.122807018,1.921052632
ABIA,ABA NORTH,ARIARIA MARKET,01-01-09-003,OSUSU RD.PRIM.SCHOOL-PREMISES III,121,765,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,2,86,4,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/188/result_161006_1677511179_thumb.jpg,"OSUSU RD.PRIM.SCHOOL-PREMISES III, ARIARIA MARKET, ABA NORTH, ABIA",5.11639,7.36854,1.649122807,44.77192982,2.903508772,0.096491228
ABIA,ABA NORTH,ARIARIA MARKET,01-01-09-019,OLD INTERNAL REVENUE-PREMISES VI,93,750,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,0,89,2,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3103/ward/17534/pu/210/210-1677492916.pdf,"OLD INTERNAL REVENUE-PREMISES VI, ARIARIA MARKET, ABA NORTH, ABIA",5.11639,7.36854,0.368421053,47.79824561,0.885964912,0.096491228
ABIA,ABA NORTH,ARIARIA MARKET,01-01-09-020,OLD INTERNAL REVENUE-PREMISES VII,91,750,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,2,85,1,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3103/ward/17534/pu/211/211-1677506866.pdf,"OLD INTERNAL REVENUE-PREMISES VII, ARIARIA MARKET, ABA NORTH, ABIA",5.11639,7.36854,1.649122807,43.76315789,0.122807018,0.096491228
ABIA,ABA NORTH,ARIARIA MARKET,01-01-09-047,SACRED HEART COLLEGE-SCHOOL PREMISES IV,75,584,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,1,28,3,5,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/047/047-1677396825.pdf,"SACRED HEART COLLEGE-SCHOOL PREMISES IV, ARIARIA MARKET, ABA NORTH, ABIA",5.11639,7.36854,0.640350877,13.73684211,1.894736842,4.947368421
